Nombre,Marca,Precio Lista,Precio Online,Precio Oh
Laptop Lenovo,Lenovo,2500,2400,2300
Smartphone Samsung,Samsung,1200,1150,1100
Tablet Apple,Apple,1800,1700,1600
Televisor LG,LG,1500,1450,1400
Monitor Dell,Dell,800,750,720
Impresora HP,HP,500,480,450
Auriculares Sony,Sony,300,290,280
Cámara Canon,Canon,2200,2100,2000
Consola Xbox,Microsoft,1500,1450,1400
Disco Duro WD,Western Digital,400,380,360
Tarjeta Gráfica Nvidia,Nvidia,3000,2900,2800
Teclado Logitech,Logitech,150,140,130
Mouse Razer,Razer,200,190,180
Altavoces Bose,Bose,1200,1150,1100
Proyector Epson,Epson,1800,1700,1600
Refrigerador Samsung,Samsung,5000,4800,4700
Microondas LG,LG,800,750,720
Licuadora Oster,Oster,300,280,260
Horno Bosch,Bosch,1000,950,900
Aspiradora Dyson,Dyson,2000,1900,1800
